id	summary	status	owner	type	component	version
3330	importing newforms in shell throws AttributeError on URL_VALIDATOR_USER_AGENT	closed	adrian		Forms	master
3329	[patch] Catalan translation	closed	anonymous		Internationalization	master
3328	null=True should imply blank=True	closed	nobody		"Database layer (models, ORM)"	master
3326	Timeline RSS feed broken	closed	nobody		*.djangoproject.com	master
3325	Include distribution specific notes	closed	jacob		Documentation	master
3324	FloatFields are converted to decimal and simplejson cannot serialize	closed	jacob		Core (Serialization)	master
3323	Unhelpful error message in case of unresolved string relation ('str' object has no attribute '_meta')	closed	nobody		"Database layer (models, ORM)"	master
3322	[patch] UnicodeCursorWrapper does not accept dict-style format objects	closed	adrian		"Database layer (models, ORM)"	master
3321	One more typo in docs/testing.txt	closed	jacob		Documentation	master
3320	[patch] update simplejson to the 1.5 version	closed	jacob		Core (Serialization)	master
3319	[patch] django-admin.py/manage.py documentation missing a couple options	closed	jacob		Documentation	master
3318	Out of date info on contributing.txt	closed	jacob		Documentation	master
3317	Typoes in testing.txt	closed	jacob		Documentation	master
3316	Adding `crypt' to list of password hashes for legacy apps.	closed	adrian	enhancement	Contrib apps	master
3315	add german date format to DEFAULT_DATE_INPUT_FORMATS	closed	adrian	enhancement	Forms	master
3310	manage.py test does not work if there is not a model.py in the application	closed	nobody	defect	Testing framework	master
3309	prepopulate_from JS helper script passes some non latin-1/ascii chars	closed	adrian	defect	contrib.admin	master
3305	Multiple ForeignKeys in same model seems to break inline edits.	closed	adrian	defect	"Database layer (models, ORM)"	master
3304	"[patch] Support ""httponly""-attribute in session cookie."	closed	nobody	enhancement	Core (Other)	master
3300	newforms Select widget only renders choices once when using generator	closed	adrian	defect	Forms	master
3297	newforms: Implement FileField and ImageField	closed	russellm	defect	Forms	master
3294	Add as_dict() method to models	closed	nobody	enhancement	Core (Other)	master
3293	[patch] newforms: IntegerField should return None on empty	closed	adrian	defect	Forms	master
3292	[patch] newforms: allow models to override default widget	closed	nobody	enhancement	Forms	master
3291	"[patch] get_absolute_url cannot be encanced with optional parameters, because it gets curried for settings.ABSOLUTE_URL_OVERRIDES (used for {% link_to ... %} implementation)"	closed	nobody	enhancement	Core (Other)	master
3289	"MultipleHiddenInput widget is missing ""value_from_datadict"" method."	closed	adrian	defect	Forms	master
3288	ForeignKey to 'self' and select_related() = infinite recursion	closed	PhiR	defect	"Database layer (models, ORM)"	master
3286	[design-q] Please add newforms as_div() method for printing forms.	closed	adrian	enhancement	Forms	master
3283	[patch] creating an empty queryset	closed	adrian	enhancement	"Database layer (models, ORM)"	master
3281	[patch] newforms.URLField() does not validate with both required=False and verify_exists=True	closed	adrian	defect	Forms	master
3279	"python-mysql-1.2.0 has a bug with threading, raising 'ReferenceError: weakly-referenced object no longer exists'"	closed	adrian	defect	Documentation	master
3277	[patch] typos in docs/testing.txt	closed	jacob	defect	Documentation	master
3275	"[patch] select_related() additions (depth=N, fields=[])"	closed	nobody	enhancement	"Database layer (models, ORM)"	master
